DB01384 4p6xI.LG2.pdb
DB01412 3rfmA.LG0.pdb
DB01431 2w8yB.LG0.pdb
DB01436 1j78B.LG2.pdb
DB01436 1ie9A.LG0.pdb
DB01586 1ihiB.LG1.pdb
DB01626 1gosA.LG1.pdb
DB01656 3g4lD.LG0.pdb
DB02187 1fdtA.LG0.pdb
DB02187 3eqmA.LG1.pdb
DB02300 1s19A.LG0.pdb
DB02546 4qa0A.LG1.pdb
DB02546 4lxzC.LG3.pdb
DB02546 1c3sA.LG0.pdb
DB02546 4qa0A.LG0.pdb
DB02659 3hcnA.LG1.pdb
DB02659 2bjfA.LG0.pdb
DB02659 3hcnA.LG0.pdb
DB02659 2dqyC.LG3.pdb
DB02659 1s9qA.LG1.pdb
DB02703 1qcaA.LG0.pdb
DB02703 1q23B.LG0.pdb
DB02703 1q23B.LG1.pdb
DB02959 2a4mC.LG0.pdb
DB04573 3ollA.LG1.pdb
DB04573 2yloA.LG0.pdb
DB04573 1iolA.LG0.pdb
DB04573 3q95B.LG1.pdb
DB04711 2bxnA.LG6.pdb
DB04835 4mbsB.LG1.pdb
DB04839 2oz7A.LG0.pdb
DB04868 3cs9A.LG0.pdb
DB05294 2ivuA.LG0.pdb
DB05812 3rukD.LG1.pdb
DB06228 2w26A.LG0.pdb
DB06262 6pahA.LG0.pdb
DB06605 2p16A.LG0.pdb
DB06616 4mxzA.LG0.pdb
DB06616 3ue4A.LG0.pdb
DB06710 3ollA.LG1.pdb
DB06710 1e3kA.LG0.pdb
DB06710 3s7sA.LG1.pdb
DB06710 2am9A.LG0.pdb
DB06710 1equA.LG1.pdb
DB06710 1lhnA.LG0.pdb
DB06777 3hcnA.LG1.pdb
DB06777 3hcnA.LG0.pdb
DB06777 3rv5A.LG0.pdb
DB06777 3rv5A.LG1.pdb
DB08604 1qsgG.LG2.pdb
DB08604 3gr6B.LG1.pdb
DB08604 2pd4C.LG1.pdb
DB08604 2qioD.LG1.pdb
DB08865 2wgjA.LG0.pdb
DB08865 4anqA.LG0.pdb
DB08881 3og7A.LG0.pdb
DB08896 1uwjA.LG0.pdb
DB08896 4asdA.LG0.pdb
DB08901 4u0iA.LG0.pdb
DB08901 4qrcA.LG0.pdb
DB08901 4tyjA.LG0.pdb
DB08906 3cldA.LG1.pdb
DB08910 4tz4B.LG0.pdb
DB08916 4g5jA.LG2.pdb
DB08916 4g5jA.LG0.pdb
DB08916 4g5jA.LG1.pdb
