ID #HeavyAtom
02231215092D 17
02231215092D 11
02231215092D 18
02231215092D 22
02231215092D 22
02231215092D 10
02231215092D 19
02231214412D 42
04191212162D 32
02231215102D 12
02231215102D 39
02231215102D 18
02231215102D 17
02231215102D 23
02231215102D 17
02231215102D 21
04191212162D 34
04111413432D 18
02231215102D 5
02231215102D 22
02231215102D 23
02231215102D 14
02231215102D 19
02231215102D 12
02231215102D 17
02231215102D 26
01241411192D 32
04191212162D 26
02231215102D 17
02231215102D 33
04191212162D 33
02231215112D 15
02231215112D 11
02231215112D 13
02231215112D 20
02231215112D 33
02231215112D 25
02231215112D 23
02231215112D 22
04191212162D 36
02231215112D 8
02231215112D 32
02231215112D 31
02231215112D 12
02231215112D 19
02231215112D 10
02231215112D 16
02231215112D 17
04191212162D 24
04191212162D 14
02231215112D 25
02231215122D 35
02231215122D 19
04191212162D 19
02231215122D 13
02231215122D 27
04191212162D 59
02231215122D 27
02231215122D 35
02231215122D 21
04191212162D 44
02231215122D 15
02231215122D 44
02231215122D 23
02231215122D 26
02231215122D 14
02231215122D 14
02231215122D 15
02231215122D 23
02231215122D 23
02231215122D 25
04191212162D 32
02231215132D 26
02231215132D 29
02231215132D 15
02231215132D 17
04191212162D 33
02231215132D 31
02231215132D 22
02231215132D 20
04191212162D 29
02231215132D 23
02231215132D 51
02231215132D 24
02231215132D 20
02231215132D 19
09301311092D 41
02231215132D 11
02231215132D 66
02231215132D 9
02231215142D 34
02231215142D 40
02231215142D 35
02231215142D 22
02231215142D 15
02231215142D 12
02231215142D 19
02231215142D 35
02231215142D 42
02231215142D 17
02231215142D 24
02231215142D 41
02231215142D 4
02231215142D 22
11221308162D 30
02231215142D 20
02231215142D 19
04191212162D 33
02231215142D 9
02231215142D 34
02231215142D 25
02231215152D 23
02231215152D 28
02231215152D 20
02231215152D 19
02231215152D 31
02231215152D 13
02231215152D 24
02231215152D 25
02231215152D 107
04191212162D 29
02231215152D 25
02231215152D 19
02231215152D 25
02231215152D 26
02231215152D 26
02231215152D 31
02231215152D 14
11231309432D 22
02231215152D 13
02231215152D 36
02231215162D 16
02231215162D 18
02231215162D 19
04191212172D 37
02231215162D 24
02231215162D 29
02231215162D 25
02231215162D 35
02231215162D 17
02231215162D 25
02231215162D 17
02231215162D 74
02231215162D 30
02231215162D 26
02231215162D 29
02231215162D 28
04191212172D 25
02231215162D 89
04191212172D 21
02231215162D 12
02231215162D 16
02231215172D 25
02231215172D 21
02231215172D 29
02231215172D 29
02231215172D 33
03191310472D 27
02231215172D 20
02231215172D 27
02231215172D 17
04191212172D 28
02231215172D 16
02231215172D 27
02231215172D 13
02231215172D 7
02231215172D 33
02231215172D 18
02231215172D 28
02231215172D 3
02231215172D 26
02231215172D 27
02231215172D 49
02231215172D 16
02231215172D 5
02231215182D 14
02231215182D 18
04101417302D 33
02231215182D 20
02231215182D 17
02231215182D 24
02231215182D 20
02231215182D 36
02231215182D 17
12021420082D 30
02231215182D 46
02231215182D 14
02231215182D 25
02231215182D 24
02231215182D 30
02231215182D 24
02231215182D 22
02231215182D 22
02231215182D 15
02231215182D 10
02231215182D 27
04191212172D 16
02231215182D 22
02231215182D 24
02231215182D 23
02231215192D 28
04191212172D 29
02231215192D 14
02231215192D 27
02231215192D 45
02231215192D 43
02231215192D 63
02231215192D 12
02231215192D 22
02231215192D 32
02231215192D 22
02231215192D 15
02231215192D 26
02231215192D 28
04191212172D 18
02231215192D 21
04191212172D 52
02231215192D 36
02231215192D 6
02231215192D 22
02231215192D 21
02231215192D 27
02231215202D 22
02231215202D 33
04191212172D 23
02231215202D 57
02231215202D 16
04191212172D 31
02231215202D 30
02231215202D 27
02231215202D 74
02231215202D 26
04191212172D 26
02231215202D 62
02231215202D 23
02231215202D 49
02231215202D 20
02231215202D 28
02231215202D 14
02231215202D 12
02231215202D 20
02231215202D 30
01191410032D 21
02231215212D 25
02231215212D 18
02231215212D 22
02231215212D 13
02231215212D 27
02231215212D 18
02231215212D 21
02231215212D 17
02231215212D 58
02231215212D 62
02231215212D 22
02231215212D 37
02231215212D 23
02231215212D 24
02231215212D 33
02231215212D 19
02231215212D 36
02231215212D 40
02231215212D 30
02231215212D 28
02231215212D 16
02231215222D 51
02231215222D 38
02231215222D 17
02231215222D 31
02231215222D 29
02231215222D 16
02231215222D 25
02231215222D 12
02231215222D 21
04191212172D 69
10291317312D 20
02231215222D 22
02231215222D 31
02231215222D 17
02231215222D 12
02231215222D 25
02231215222D 12
04191212172D 19
02231215222D 20
02231215222D 21
02231215222D 38
02231215222D 20
02231215222D 39
02231215232D 25
02231215232D 58
02231215232D 25
02231215232D 18
02231215232D 31
04191212172D 29
04191212172D 35
02231215232D 44
04191212172D 36
02231215232D 28
02231215232D 25
02231215232D 24
02231215232D 48
02231215232D 41
02231215232D 43
02231215232D 40
02231215232D 30
02231215232D 31
02241214212D 41
02231215232D 38
02231215232D 31
02231215242D 31
02231215242D 16
02231215242D 15
02231215242D 15
02231215242D 18
04171217142D 17
02231215242D 1
10291314242D 23
02231215242D 21
02231215242D 57
02231215242D 34
02231215242D 12
02231215242D 12
02231215242D 21
02231215242D 13
02231215242D 73
02231215242D 1
02231215242D 8
02231215242D 2
02231215242D 29
02231215242D 21
02231215262D 28
02231215282D 5
02231215282D 26
02231215282D 25
04191212172D 29
02231215282D 27
02231215282D 54
02241214212D 21
02241214212D 11
02231215282D 19
02231215282D 16
04101209562D 38
02231215282D 23
02231215282D 25
02231215282D 17
02231215282D 26
02231215282D 26
02231215282D 39
02231215282D 36
02231215282D 13
02231215282D 32
02231215282D 23
02231215282D 27
02231215282D 28
04191212182D 26
02231215292D 42
02231215292D 25
02231215292D 42
02231215292D 14
02231215292D 17
02231215292D 17
02231215292D 23
02231215292D 24
02231215292D 14
02231215292D 17
02231215292D 24
02231215292D 35
02231215292D 22
02241213012D 26
02231215292D 14
02231215292D 29
02231215292D 16
02231215292D 16
02231215292D 7
02231215302D 27
02231215302D 16
02231215302D 23
02231215312D 26
02231215312D 26
02231215312D 32
02231215322D 20
02231215332D 23
02231215332D 25
02231215332D 14
02231215332D 22
02231215332D 23
02231215332D 19
02231215332D 21
02231215342D 21
02231215342D 10
02231215342D 11
02231215342D 32
02231215342D 14
02231215342D 19
02231215342D 18
02231215342D 19
02231215342D 49
02231215342D 28
02231215342D 26
02231215342D 23
02231215342D 25
02231215342D 68
02231215352D 35
02231215352D 1
02231215352D 1
02231215352D 25
02231215352D 21
02231215352D 24
02231215352D 20
02041420332D 35
02231215352D 18
02231215352D 46
02231215352D 32
02231215352D 26
02231215352D 32
04191212182D 30
02231215352D 20
02231215352D 25
02231215352D 26
02231215352D 28
02231215352D 25
02231215352D 23
04191212182D 8
04191212182D 20
02231215362D 23
02231215362D 23
02231215362D 21
02231215362D 20
02231215362D 20
02231215362D 18
02231215362D 32
02231215362D 30
02231215362D 30
02231215362D 27
02231215362D 26
02231215362D 12
02231215362D 27
02231215362D 24
02231215372D 26
02231215422D 48
02231216012D 20
04191212182D 30
02231216162D 19
02231216202D 85
02231216212D 29
02231216232D 37
04301222382D 16
02231216432D 53
04191212182D 4
02231216492D 7
02231217452D 20
02231217462D 36
02241214202D 17
02241205512D 11
02231217462D 21
02231217462D 24
02231217462D 27
02231217512D 34
02231217552D 86
02231217552D 24
02231217572D 37
02231217572D 20
02231217572D 20
03111408262D 29
02231217572D 13
02231217572D 30
02231217572D 35
02231217572D 25
02231217572D 23
02231217572D 35
02231217572D 39
02231217582D 29
02231217582D 39
02231217582D 39
02231217582D 22
02231217582D 52
02231217592D 18
02231218002D 17
02231218002D 27
02231218002D 80
02231218002D 18
02231218002D 34
02231218012D 125
03241314462D 30
02231218012D 26
02231218012D 27
02231218012D 26
02231218022D 31
02231218022D 16
02231218032D 22
02231218032D 24
02231218042D 31
04211211512D 29
08301318242D 54
02231218072D 18
02231218072D 15
02231218072D 13
02231218072D 26
02231218072D 17
02231218072D 22
05081314522D 30
02231218082D 15
02231218132D 49
04191212182D 43
08161315182D 26
02231218142D 31
02241214202D 16
02231218142D 20
12101320452D 21
02231218142D 10
02231218142D 30
02231218152D 92
02231218152D 17
06171316382D 25
02231218152D 16
02231218152D 35
02231218152D 26
08061310402D 33
02231218152D 32
02231218152D 28
02231218152D 28
03241316052D 18
05181322202D 29
06031300272D 34
08201311492D 16
02231218162D 15
02231218162D 36
02241213002D 29
02231218162D 31
02231218162D 73
02231218162D 25
01011415462D 52
02111513242D 34
02241213002D 23
04211314522D 122
02241213162D 28
02231218162D 57
04231317552D 31
04291311152D 43
02231218172D 18
02231218172D 34
02231218172D 23
06071313172D 36
02231218172D 22
09101416102D 7
08291315112D 77
04231207232D 33
02231218172D 24
04191212182D 21
02241212362D 18
02241212382D 46
04191212182D 38
04191212182D 21
02241212462D 10
02241212462D 117
02241212462D 19
02241212462D 17
02241212462D 30
05081314332D 32
02241212482D 12
02241214212D 56
02241212482D 10
02241212482D 13
02241212482D 35
02241212482D 11
04211212552D 22
02241212482D 16
02241212482D 28
02241212482D 24
02241212492D 11
02241212492D 2
06161306532D 19
02241212492D 41
02241212492D 24
02241216312D 4
02241213002D 23
02241213002D 22
02241213002D 23
09131211472D 18
02241213012D 29
02241214192D 23
04181215012D 7
02231219392D 8
04141317312D 27
02241214192D 60
02241214192D 13
02231218342D 28
02241214192D 36
02241207072D 6
10131418222D 12
03171311592D 26
02241214192D 19
02241214202D 21
02241214202D 43
02241214202D 36
02241214202D 76
04261312322D 16
04231313042D 35
10091315242D 32
11291315252D 48
12161323002D 17
02241214192D 21
04191212182D 26
02241214202D 28
02241214202D 10
02241214202D 18
02241214202D 20
02241214202D 20
02241214202D 22
02241214202D 20
02241214202D 17
02241214202D 31
02241214202D 25
02241214202D 28
02241214202D 18
02241214212D 29
02241214212D 28
04281318202D 35
04251210302D 36
02271202182D 32
02271202182D 29
05071314012D 42
05041310352D 52
05031312592D 23
12281214342D 10
08011315002D 50
05281322232D 27
07031308452D 34
07051318122D 21
08061307412D 14
07191319352D 9
04181318012D 31
02231218062D 28
05261323012D 30
04281312242D 49
02231218072D 22
05021313242D 52
02231218132D 37
05121315392D 72
05151316472D 23
05191323472D 33
05031421322D 35
05221322412D 40
05061311122D 24
05291315052D 52
05291323212D 101
05301323112D 28
06031315492D 33
08221313002D 33
06041322152D 32
